,Unnamed: 0,school_name,address,score,district,grade,lat,long
299,299,East Terrell Hills Elementary School,"4415 Bloomdale Drive, San Antonio, TX 78218",3.0,Public district,PK-5,N/A,N/A
300,300,Larkspur Elementary School,"11330 Belair Drive, San Antonio, TX 78213",3.0,Public district,PK-5,N/A,N/A
301,301,Montgomery Elementary School,"7047 Montgomery Drive, San Antonio, TX 78239",3.0,Public district,PK-5,N/A,N/A
302,302,Walzem Elementary School,"4618 Walzem Road, San Antonio, TX 78218",3.0,Public district,PK-5,N/A,N/A
303,303,White Middle School,"7800 Midcrown Drive, San Antonio, TX 78218",3.0,Public district,6-8,N/A,N/A
304,304,Cable Elementary School,"1706 Pinn Road, San Antonio, TX 78227",3.0,Public district,PK-5,N/A,N/A
305,305,Colonies North Elementary School,"9915 Northampton Drive, San Antonio, TX 78230",3.0,Public district,PK-5,N/A,N/A
306,306,Pease Middle School,"201 Hunt Lane, San Antonio, TX 78245",3.0,Public district,6-8,N/A,N/A
307,307,Jay High School,"7611 Marbach Road, San Antonio, TX 78227",3.0,Public district,9-12,N/A,N/A
308,308,Neff Middle School,"5227 Evers Road, San Antonio, TX 78238",3.0,Public district,6-8,N/A,N/A
309,309,Rayburn Middle School,"1400 Cedarhurst Drive, San Antonio, TX 78227",3.0,Public district,6-8,N/A,N/A
310,310,Ross Middle School,"3630 Callaghan Road, San Antonio, TX 78228",3.0,Public district,6-8,N/A,N/A
311,311,Agnes Cotton Elementary School,"1616 Blanco Road, San Antonio, TX 78212",3.0,Public district,PK-3,N/A,N/A
312,312,Cameron Elementary School,"4551 Dietrich Road, San Antonio, TX 78219",3.0,Public district,PK-5,N/A,N/A
313,313,Collins Garden Elementary School,"167 Harriman Place, San Antonio, TX 78204",3.0,Public district,PK-5,N/A,N/A
314,314,Douglass El,"318 Martin Luther King Drive, San Antonio, TX 78203",3.0,Public district,PK-5,N/A,N/A
315,315,Edison High School,"701 Santa Monica Street, San Antonio, TX 78212",3.0,Public district,9-12,N/A,N/A
316,316,Hawthorne Pk-8 Academy,"115 West Josephine Street, San Antonio, TX 78212",3.0,Public charter,PK-8,N/A,N/A
317,317,Highland Hills Elementary School,"734 Glamis Avenue, San Antonio, TX 78223",3.0,Public district,PK-5,N/A,N/A
318,318,Hirsch Elementary School,"4826 Seabreeze Drive, San Antonio, TX 78220",3.0,Public district,PK-5,N/A,N/A
319,319,J T Brackenridge El,"1214 Guadalupe Street, San Antonio, TX 78207",3.0,Public district,PK-5,N/A,N/A
320,320,Jefferson High School,"723 Donaldson Avenue, San Antonio, TX 78201",3.0,Public district,9-12,N/A,N/A
321,321,Madison Elementary School,"2900 West Woodlawn Avenue, San Antonio, TX 78228",3.0,Public district,PK-5,N/A,N/A
322,322,Maverick Elementary School,"107 Raleigh Place, San Antonio, TX 78201",3.0,Public district,PK-5,N/A,N/A
323,323,Robert B Green Elementary School,"122 West Whittier Street, San Antonio, TX 78210",3.0,Public district,PK-5,N/A,N/A
324,324,Rogers Elementary School,"620 McIlvaine, San Antonio, TX 78212",3.0,Public district,PK-5,N/A,N/A
325,325,Storm El,"435 Brady Boulevard, San Antonio, TX 78207",3.0,Public district,PK-5,N/A,N/A
326,326,Twain Middle School,"2411 San Pedro Avenue, San Antonio, TX 78212",3.0,Public district,6-8,N/A,N/A
327,327,Brackenridge High School,"400 Eagleland Drive, San Antonio, TX 78210",3.0,Public district,9-12,N/A,N/A
328,328,Woodlawn Hills Elementary School,"110 West Quill Drive, San Antonio, TX 78228",3.0,Public district,PK-5,N/A,N/A
329,329,Athens Elementary School,"2707 West Gerald Avenue, San Antonio, TX 78211",3.0,Public district,PK-5,N/A,N/A
330,330,Dwight Middle School,"2454 West Southcross Boulevard, San Antonio, TX 78211",3.0,Public district,6-8,N/A,N/A
331,331,Hutchins Elementary School,"1919 West Hutchins Place, San Antonio, TX 78224",3.0,Public district,PK-5,N/A,N/A
332,332,Julius L Matthey Middle School,"1460 Martinez Losoya Road, San Antonio, TX 78221",3.0,Public district,7-8,N/A,N/A
333,333,Ronald E Mcnair Middle School,"11914 Dragon Lane, San Antonio, TX 78252",3.0,Public district,6-8,N/A,N/A
334,334,Freedom Elementary School,"1460 Martinez Losoya Road, San Antonio, TX 78221",3.0,Public district,PK-4,N/A,N/A
335,335,Alpha Academy,"4434 Roland Road, San Antonio, TX 78222",3.0,Public charter,PK-12,N/A,N/A
336,336,Radiance Academy Of Learning,"8308 Fredericksburg Road, San Antonio, TX 78229",3.0,Public charter,PK-5,N/A,N/A
337,337,Shekinah Walzem,"6663 Walzem Road, San Antonio, TX 78239",3.0,Public charter,PK-5,N/A,N/A
338,338,Karen Wagner High School,"3000 North Foster Road, San Antonio, TX 78244",3.0,Public district,9-12,N/A,N/A
