,school_name,address,score,grade
200,Lbj High School,"7309 Lazy Creek Drive, Austin, TX 78724",2,Public district 9-12
201,Garcia Ymla,"7414 Johnny Morris Road, Austin, TX 78724",2,Public district 6-8
202,Sci-Tech Preparatory,"6405 Interstate 35 Frontage Road, Austin, TX 78744",2,Public charter 6-12
203,Kipp Austin Connections Elementary School,"8509 Farm to Market 969, Austin, TX 78724",2,Public charter PK-4
204,Sadler Means Ywla,"6401 North Hampton Drive, Austin, TX 78723",2,Public district 6-8
205,Burnet Middle School,"8401 Hathaway Drive, Austin, TX 78757",1,Public district 6-8
206,Rosedale,"2117 West 49th Street, Austin, TX 78756",1,Public district PK-12
207,Pickle Elementary School,"1101 Wheatley Avenue, Austin, TX 78752",1,Public district PK-5
208,Texas School For The Deaf,"1102 South Congress Avenue, Austin, TX 78704",1,Public district PK-12
209,Tnc Campus (Texas Neurorehabilitat,"1106 West Dittmar Road, Austin, TX 78745",1,Public charter K-12
210,Premier High School At Travis,"1211 East Oltorf Street, Austin, TX 78704",1,Public charter 9-12
211,Premier High School At Lanier,"1201 Payton Gin Road, Austin, TX 78758",1,Public charter 9-12
212,ACE Academy,"3901 Shoal Creek Boulevard, Austin, TX 78756",N/A,Private PK-8
213,Allan Elementary School,"4900 Gonzales Street, Austin, TX 78702",N/A,Public district PK-5
214,Leadership Academy,"2515 South Congress Avenue, Austin, TX 78704",N/A,Public district 6-12
215,Garza Independence High School,"1600 Chicon Street, Austin, TX 78702",N/A,Public district 9-12
216,Schoolhouse Academy,"13740 Research Blvd., Austin, TX 78750",N/A,Private K-2
217,The Magellan International School,"7130 Chimney Corners, Austin, TX 78731",N/A,Private PK-8
218,Shoal Creek,"3501 Mills Avenue, Austin, TX 78731",N/A,Public charter K-12
219,House Sparrows Academy ,"8432 Jamestown Drive, Austin, TX 78758",N/A,Private 1-3
220,Sacred Heart Catholic School,"5911 Reicher Drive, Austin, TX 78723",N/A,Private PK-6
221,Cathedral School Of St Mary,"910 San Jacinto Boulevard, Austin, TX 78701",N/A,Private PK-8
222,St Ignatius Martyr School,"120 West Oltorf Street, Austin, TX 78704",N/A,Private PK-8
223,St Austin Catholic School,"1911 San Antonio Street, Austin, TX 78705",N/A,Private PK-8
224,St Louis School,"2114 Saint Joseph Boulevard, Austin, TX 78757",N/A,Private PK-8
225,Veritas Academy,"Po Box 90517, Austin, TX 78709",N/A,Private PK-12
226,AHB Community School,"4001 Speedway Ave, Austin, TX 78751",N/A,Private K-8
227,White Bird Montessori School,"9000 Manchaca Road, Austin, TX 78748",N/A,Private PK-K
228,St Stephens Episcopal School,"6500 Saint Stephens Drive, Austin, TX 78746",N/A,Private 6-12
229,St. Andrew's Episcopal School,"1112 W 31st St, Austin, TX 78705",N/A,Private K-12
230,St. Martin's Lutheran School,"606 W 15th St, Austin, TX 78701",N/A,Private PK-K
231,Redeemer Lutheran School,"1500 West Anderson Lane, Austin, TX 78757",N/A,Private PK-8
232,Hope Lutheran School,"6414 N Hampton Dr, Austin, TX 78723",N/A,Private K-7
233,St. Paul Lutheran School,"3407 Red River Street, Austin, TX 78705",N/A,Private PK-8
234,Renaissance Academy,"14401 Owen-Tech Boulevard, Austin, TX 78728",N/A,Private PK-12
235,Holy Word Christian Academy,"10601 Bluff Bend Drive, Austin, TX 78753",N/A,Private K-8
236,All Saints' Episcopal School,"209 West 27th Street, Austin, TX 78705",N/A,Private PK-K
237,The Oaks School,"1407 W Stassney Lane, Austin, TX 78745",N/A,Private 6-12
238,Austin Montessori School,"5006 Sunset Trail, Austin, TX 78745",N/A,Private PK-9
239,Austin SDA Junior Academy,"301 W Anderson Ln, Austin, TX 78752",N/A,Private K-10
240,Kirby Hall School,"306 W 29th St, Austin, TX 78705",N/A,Private PK-12
241,Maranatha Christian Academy,"8210 S 1st Street, Austin, TX 78748",N/A,Private K-10
242,St. Michael's Catholic Academy,"3000 Barton Creek Blvd, Austin, TX 78735",N/A,Private 9-12
243,St. Theresas Catholic School,"4311 Small Drive, Austin, TX 78731",N/A,Private PK-8
244,Bannockburn Christian Academy,"7100 Brodie Ln, Austin, TX 78745",N/A,Private PK-5
