,school_name,address,score,district,grade,lat,long
92,Pease Elementary School,"1106 Rio Grande Street, Austin, TX 78701",6,Public district,PK-6,30.2752911,-97.7480349
93,Summitt Elementary School,"12207 Brigadoon Lane, Austin, TX 78727",6,Public district,PK-5,30.418607,-97.7190679
94,Williams Elementary School,"500 Mairo Street, Austin, TX 78748",6,Public district,PK-5,30.1810015,-97.7915193
95,Winn Elementary School,"3500 Susquehanna Lane, Austin, TX 78723",6,Public district,PK-6,30.3148825,-97.6649793
96,Bailey Middle School,"4020 Lost Oasis Hollow, Austin, TX 78739",6,Public district,8-Jun,30.1642245,-97.8724201
97,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX 78748",6,Public district,PK-5,30.177745,-97.835249
98,Copperfield Elementary School,"12135 Thompkins Drive, Austin, TX 78753",6,Public district,PK-5,30.3883326,-97.6599781
99,Anderson Mill Elementary School,"10610 Salt Mill Hollow, Austin, TX 78750",6,Public district,PK-5,30.452836,-97.806853
100,Purple Sage Elementary School,"11801 Tanglebriar Trail, Austin, TX 78750",6,Public district,K-5,30.4570863,-97.8201913
101,Small Middle School,"4801 Monterey Oaks Boulevard, Austin, TX 78749",6,Public district,8-Jun,30.2337058,-97.8420028
102,Casey Elementary School,"9400 Texas Oaks Drive, Austin, TX 78748",6,Public district,PK-5,30.1771894,-97.8146045
103,Cedars International Academy,"8416 Interstate 35 Frontage Road, Austin, TX 78753",6,Public charter,PK-12,30.348818,-97.6943449
104,Kipp Austin College Prep,"8509 Farm to Market 969, Austin, TX 78724",6,Public charter,8-May,30.2723506,-97.6384032
105,Padron Elementary School,"1111 West 6th Street, Austin, TX 78703",6,Public district,PK-5,30.271564,-97.756538
106,Perez Elementary School,"7500 South Pleasant Valley Road, Austin, TX 78744",6,Public district,PK-5,30.1708512,-97.7562376
107,Grandview Hills Elementary School,"12024 Vista Parke Drive, Austin, TX 78726",6,Public district,PK-5,30.4154362,-97.8533359
108,Hillside Elementary School,"9600 Perry Lane, Austin, TX 78731",6,Public district,PK-4,30.327153,-97.7594081
109,Kipp Austin Academy Of Arts & Lett,"8509 Farm to Market 969, Austin, TX 78724",6,Public charter,8-May,30.2723506,-97.6384032
110,Texas Empowerment Academy Elementary School,"6414 North Hampton Drive, Austin, TX 78723",6,Public charter,K-5,30.3145771,-97.6814543
111,Kipp Austin Beacon Prep,"8509 Farm to Market 969, Austin, TX 78724",6,Public charter,8-May,30.2723506,-97.6384032
